[06-01-2026 09:34:50] Mencari info auditd untuk: /var/www/OJS/tes.php
[06-01-2026 09:34:50] Mencari info auditd untuk: /var/www/OJS/tes.php
[06-01-2026 09:37:14] Scan: /var/www/OJS/tes.php | Result: [MALWARE] | YARA: PHP_Dangerous_Functions
[06-01-2026 10:12:09] Scan: /var/www/OJS/tes.php | Result: [MALWARE] | YARA: PHP_Dangerous_Functions
[06-01-2026 10:12:27] Scan: /var/www/OJS/tes.php | Result: [MALWARE] | YARA: PHP_Dangerous_Functions
[06-01-2026 10:13:12] Scan: /var/www/OJS/tes.php | Result: [MALWARE] | YARA: PHP_Dangerous_Functions
[06-01-2026 10:50:31] Scan: /var/www/OJS/tes.php | Result: [BAHAYA] | YARA: None
[06-01-2026 10:51:02] Scan: /var/www/OJS/tes.php | Result: [BAHAYA] | YARA: None
[06-01-2026 10:55:09] Scan: /var/www/OJS/tes.php | Result: [BAHAYA] | Action: DITAMBAHKAN
[06-01-2026 10:57:25] Scan: /var/www/OJS/tes.php | Result: [MALWARE] | Action: DIUBAH
[06-01-2026 11:01:41] Scan: /var/www/OJS/plugins/generic/webFeed/WebFeedRepair.php | Result: [BAHAYA] | Action: DITAMBAHKAN
[06-01-2026 11:02:18] Scan: /var/www/OJS/tes.php | Result: [BAHAYA] | Action: DITAMBAHKAN
[06-01-2026 11:03:53] Scan: /var/www/OJS/tes.php | Result: [BAHAYA] | Action: DIUBAH/DIBUAT
[06-01-2026 11:03:55] Scan: /var/www/OJS/tes.php | Result: [BAHAYA] | Action: DIUBAH
[06-01-2026 11:04:17] Scan: /var/www/OJS/lib/pkp/lib/vendor/wikimedia/less.php/lib/Less/Tree/Mixin/16e2277f8b31_A | Result: [MALWARE] | Action: DIUBAH/DIBUAT
[06-01-2026 11:04:20] Scan: /var/www/OJS/lib/pkp/lib/vendor/wikimedia/less.php/lib/Less/Tree/Mixin/proc_1.php | Result: [BAHAYA] | Action: DIUBAH/DIBUAT
[06-01-2026 11:04:20] Scan: /var/www/OJS/lib/pkp/lib/vendor/wikimedia/less.php/lib/Less/Tree/Mixin/.htaccess | Result: [BAHAYA] | Action: DITAMBAHKAN
[06-01-2026 11:04:20] Scan: /var/www/OJS/lib/pkp/lib/vendor/wikimedia/less.php/lib/Less/Tree/Mixin/proc_1.php | Result: [BAHAYA] | Action: DIHAPUS
[06-01-2026 11:04:21] Scan: /var/www/OJS/lib/pkp/lib/vendor/wikimedia/less.php/lib/Less/Tree/Mixin/16e2277f8b31_MO | Result: [MALWARE] | Action: DITAMBAHKAN
[06-01-2026 11:04:21] Scan: /var/www/OJS/lib/pkp/lib/vendor/wikimedia/less.php/lib/Less/Tree/Mixin/16e2277f8b31_B | Result: [MALWARE] | Action: DITAMBAHKAN
[06-01-2026 11:04:24] Scan: /var/www/OJS/lib/pkp/lib/vendor/wikimedia/less.php/lib/Less/Tree/Mixin/16e2277f8b31_MO | Result: Normal | Action: DIHAPUS
[06-01-2026 11:04:30] Scan: /var/www/OJS/lib/pkp/lib/vendor/wikimedia/less.php/lib/Less/Tree/Mixin/proc_1.php | Result: [BAHAYA] | Action: DITAMBAHKAN
[06-01-2026 11:04:45] Scan: /var/www/OJS/lib/pkp/lib/vendor/wikimedia/less.php/lib/Less/Tree/Mixin/envload.php | Result: [MALWARE] | Action: DIUBAH/DIBUAT
[06-01-2026 11:04:45] Scan: /var/www/OJS/classes/controllers/grid/users/author/form/jobrunner.php | Result: [MALWARE] | Action: DITAMBAHKAN
[06-01-2026 11:04:45] Scan: /var/www/OJS/classes/controllers/grid/users/author/form/.htaccess | Result: [BAHAYA] | Action: DITAMBAHKAN
[06-01-2026 11:04:45] Scan: /var/www/OJS/plugins/paymethod/paypal/vendor/omnipay/common/src/Common/Http/Exception/.htaccess | Result: [BAHAYA] | Action: DITAMBAHKAN
[06-01-2026 11:04:45] Scan: /var/www/OJS/lib/pkp/lib/vendor/wikimedia/less.php/lib/Less/Tree/Mixin/.htaccess | Result: [BAHAYA] | Action: DIUBAH/DIBUAT
[06-01-2026 11:04:45] Scan: /var/www/OJS/lib/pkp/lib/vendor/wikimedia/less.php/lib/Less/Tree/Mixin/.htaccess | Result: [BAHAYA] | Action: DIHAPUS
